Wall time,Step,Value
1639132811.043781,42720,7141.0
1639132939.7420352,85439,7141.0
1639133063.6273203,113915,7141.0
1639133184.8708313,135278,7141.0
1639133427.844429,178005,7141.0
1639133917.0798,263424,7141.0
1639134080.7768295,291917,7141.0
1639134162.8663576,306143,7141.0
1639134245.3012016,320377,7141.0
1639134286.4875934,327495,7141.0
1639134368.7032406,341721,7141.0
1639134616.8675525,384453,7141.0
1639134658.3922522,391565,7141.0
1639134699.964,398686,7141.0
1639134741.3155427,405816,7141.0
1639135113.9327848,469883,7141.0
1639135361.8093498,512584,7141.0
1639135403.1969254,519712,7141.0
1639135444.9428263,526837,7141.0
1639135486.6717122,533954,7141.0
1639135697.1974719,569560,7141.0
1639136036.3527124,626504,7141.0
1639136326.985287,676335,7141.0
1639136668.7873435,733286,7141.0
1639136798.0602014,754646,7141.0
1639136840.5064301,761768,7141.0
1639137142.6415427,811595,7141.0
1639137355.6997135,847179,7141.0
1639137702.4681885,904142,7141.0
1639137835.0200255,925500,7141.0
1639137878.736268,932622,7141.0
1639138271.083695,996691,7141.0
1639138356.9398162,1010932,7141.0
1639138399.461656,1018048,7141.0
1639138442.2066114,1025164,7141.0
1639138747.0520022,1074995,7141.0
1639138965.5814304,1110575,7141.0
1639139053.153937,1124827,7141.0
1639139096.984731,1131946,7141.0
1639139272.7953484,1160415,7141.0
1639139492.476796,1196010,7141.0
1639139536.4667342,1203122,7141.0
1639139670.4741888,1224488,7141.0
1639139937.8522477,1267203,7141.0
1639139982.5970507,1274319,7141.0
1639140073.593006,1288552,7141.0
1639140207.5301054,1309900,7141.0
1639140294.3429222,1324138,7141.0
1639140339.1766272,1331255,7141.0
1639140428.7749722,1345498,7141.0
1639140518.3412895,1359743,7141.0
1639140563.395193,1366870,7141.0
1639140879.0024412,1416695,7141.0
1639141243.758432,1473619,7139.83984375
1639141289.1536458,1480741,7139.83984375
1639141334.288126,1487857,7139.83984375
1639141516.2543352,1516349,7139.83984375
1639142017.5174289,1594651,7139.83984375
1639142105.598397,1608366,7118.6201171875
1639142284.7890832,1636229,7094.93994140625
1639142420.875635,1657379,7086.18994140625
1639142510.6139483,1671300,7073.39990234375
1639142638.1897738,1691040,7008.580078125
1639143163.347562,1771868,6845.64013671875
1639143425.243335,1812066,6769.7900390625
1639143548.0808585,1830805,6673.759765625
1639143624.195963,1842388,6580.68994140625
1639143668.9455907,1849198,6605.490234375
1639143735.4139478,1859324,6469.009765625
1639143890.869085,1882975,6352.33984375
1639144023.8237936,1903168,6063.2099609375
1639144091.415165,1913425,5950.14013671875
1639144274.3922935,1941127,5743.14013671875
1639144733.247886,2010194,5111.009765625
1639144892.7647104,2034203,5036.97998046875
1639144923.8409238,2038877,5040.3798828125
1639145028.8712807,2054636,4768.509765625
1639145061.6480384,2059557,4759.56005859375
1639145167.650277,2075408,4530.9501953125
1639145192.0404215,2079050,4457.93017578125
1639145242.8405426,2086683,4373.77978515625
1639145316.1871328,2097650,4263.759765625
1639145451.702166,2117993,4146.85986328125
1639145473.7521856,2121295,4102.509765625
1639145617.936089,2142922,3870.179931640625
1639145640.5546246,2146317,3848.139892578125
1639145669.14358,2150613,3862.2900390625
1639145741.2165182,2161447,3764.820068359375
1639145974.3872128,2196452,3769.949951171875
1639146146.6946769,2222279,3637.75
1639146429.8017085,2264777,3377.18994140625
1639146493.080158,2274275,3296.050048828125
1639146575.2387342,2286743,3215.7099609375
1639146707.3003092,2306595,3251.1201171875
1639146801.2976487,2320577,3324.02001953125
1639146823.0704162,2323800,3298.929931640625
1639146839.8276303,2326305,3258.2900390625
1639146981.3316092,2347648,3211.080078125
1639147087.6533742,2363280,3223.9599609375
1639147105.5927675,2365921,3189.409912109375
1639147441.3476725,2415681,3111.93994140625
1639147572.0184972,2435216,3009.0
1639147689.3581715,2452662,2973.1201171875
1639147705.5090227,2455060,2904.2900390625
1639147742.932264,2460592,2894.9599609375
1639147846.3261402,2476098,2783.780029296875
1639148016.5942504,2501486,2791.159912109375
1639148047.6874793,2506129,2743.260009765625
1639148065.9070203,2508846,2744.389892578125
1639148124.2169595,2517548,2757.360107421875
1639148232.4322076,2533670,2745.010009765625
1639148387.6481278,2556931,2703.179931640625
1639148441.9881856,2565229,2704.929931640625
1639148463.3892107,2568399,2698.489990234375
1639148627.060167,2592891,2716.39990234375
1639148645.9538355,2595691,2712.22998046875
1639148865.1921349,2628549,2886.1201171875
1639148922.3977616,2637217,2900.780029296875
1639148940.965606,2640001,2885.64990234375
1639148983.3274632,2646293,2918.530029296875
1639149022.0457497,2651997,2921.56005859375
1639149289.17256,2691754,2918.6201171875
1639149377.1520696,2704759,2838.409912109375
1639149415.06585,2710408,2837.110107421875
1639149468.9250815,2718377,2794.56005859375
1639149608.7900302,2739333,2734.31005859375
1639149710.5079777,2754608,2693.679931640625
1639149744.095187,2759573,2620.0
1639149801.9550254,2768163,2660.610107421875
1639149820.988683,2770971,2669.219970703125
1639149874.9724495,2778893,2661.77001953125
1639149910.4105816,2784285,2657.679931640625
1639149996.5183218,2797101,2641.580078125
1639150013.3648193,2799587,2634.010009765625
1639150166.971237,2822563,2651.820068359375
1639150203.8323743,2828136,2644.8701171875
1639150277.5809734,2838998,2635.699951171875
1639150294.8307998,2841543,2631.18994140625
1639150379.379555,2854383,2617.919921875
1639150446.459949,2864493,2617.449951171875
1639150461.8590956,2866746,2599.02001953125
1639150514.3554726,2874473,2609.260009765625
1639150548.6088037,2879549,2591.43994140625
1639150581.6047306,2884522,2610.159912109375
1639150597.9219751,2887117,2604.06005859375
1639150615.5709643,2889736,2603.43994140625
1639150632.5083416,2892258,2587.090087890625
1639150664.4012973,2896987,2548.719970703125
1639150682.1624222,2899626,2541.93994140625
1639150772.7586517,2913728,2601.080078125
1639150792.3387861,2916863,2624.68994140625
1639150898.1646245,2933750,2591.72998046875
1639150933.5882547,2938915,2599.22998046875
1639151029.3612723,2953059,2554.280029296875
1639151059.9449642,2957577,2538.2900390625
1639151142.2681727,2969820,2497.449951171875
1639151225.9175756,2982279,2452.949951171875
1639151257.701835,2986973,2448.10009765625
1639151455.6833837,3017142,2501.68994140625
1639151578.0135748,3035728,2557.669921875
