Wall time,Step,Value
1636825030.5051076,42736,7141.0
1636825281.751258,113916,7141.0
1636825404.02629,135279,7141.0
1636825651.7040496,178013,7141.0
1636826313.7496133,291894,7141.0
1636826395.4295716,306145,7141.0
1636826476.6961398,320382,7141.0
1636826518.5914528,327506,7141.0
1636826601.4907296,341742,7141.0
1636826853.3804612,384457,7141.0
1636826895.9561222,391584,7141.0
1636826938.1644497,398707,7141.0
1636826980.7050786,405823,7141.0
1636827363.0052292,469898,7141.0
1636827619.942542,512617,7141.0
1636827662.8605144,519737,7141.0
1636827705.7284405,526854,7141.0
1636827748.55633,533972,7141.0
1636827964.7686648,569560,7141.0
1636828312.9588404,626510,7141.0
1636828620.6312232,676331,7141.0
1636828975.8067436,733269,7141.0
1636829107.2450962,754632,7141.0
1636829151.8866334,761750,7141.0
1636829468.1762364,811597,7141.0
1636829699.2395236,847194,7141.0
1636830070.1831627,904149,7141.0
1636830207.950354,925510,7141.0
1636830254.5518537,932623,7141.0
1636830674.2988539,996684,7141.0
1636830768.0695267,1010922,7141.0
1636830815.3578904,1018039,7141.0
1636831191.719474,1074993,7141.0
1636831427.4203875,1110588,7141.0
1636831521.041055,1124829,7141.0
1636831567.7347074,1131947,7141.0
1636831989.9500659,1195999,7141.0
1636832037.3604882,1203117,7141.0
1636832176.3412788,1224476,7141.0
1636832458.736274,1267189,7141.0
1636832503.4406228,1274309,7141.0
1636832736.3829858,1309907,7141.0
1636832830.4484189,1324145,7141.0
1636832877.4595418,1331265,7141.0
1636833062.5867705,1359745,7141.0
1636833109.7314935,1366864,7141.0
1636833434.4947999,1416713,7141.0
1636833809.3783221,1473663,7141.0
1636833855.2090225,1480639,7134.97021484375
1636833899.4354227,1487398,7120.5
1636834075.4853742,1514192,7053.10986328125
1636834499.9057744,1578923,6510.91015625
1636834711.059713,1611045,6086.3798828125
1636834862.057003,1633884,5597.759765625
1636834963.1265736,1649219,5423.169921875
1636835329.5649707,1705077,4853.83984375
1636835481.331522,1727726,4498.02978515625
