Wall time,Step,Value
1637847499.7622693,14239,7141.0
1637847543.0760193,28465,7141.0
1637847586.6322067,42712,7141.0
1637847608.357952,49834,7141.0
1637847651.9185007,64078,7141.0
1637847695.906223,78314,7141.0
1637847717.6482484,85430,7141.0
1637847739.494643,92542,7141.0
1637847761.3069808,99651,7141.0
1637847803.1289237,106769,7141.0
1637847844.6497853,113884,7141.0
1637847886.1275907,121003,7141.0
1637847927.9485598,128123,7141.0
1637847968.9587924,135244,7141.0
1637848010.005058,142363,7141.0
1637848050.929213,149487,7141.0
1637848132.9426725,163736,7141.0
1637848215.3645027,177971,7141.0
1637848256.582925,185091,7141.0
1637848339.0247738,199328,7141.0
1637848463.1444614,220690,7141.0
1637848504.5670679,227809,7141.0
1637848546.4140613,234930,7141.0
1637848588.0428555,242054,7141.0
1637848629.5555449,249165,7141.0
1637848713.0673647,263403,7141.0
1637848838.578315,284756,7141.0
1637848880.4973733,291883,7141.0
1637848964.7168353,306125,7141.0
1637849006.5398064,313244,7141.0
1637849048.8612294,320358,7141.0
1637849091.9193215,327480,7141.0
1637849135.3777778,334597,7141.0
1637849178.480911,341722,7141.0
1637849264.9799514,355969,7141.0
1637849308.0820632,363080,7141.0
1637849432.529906,384446,7141.0
1637849473.1788106,391566,7141.0
1637849516.6283636,398686,7141.0
1637849557.6661453,405804,7141.0
1637849599.4644217,412920,7141.0
1637849729.109298,434268,7141.0
1637849772.9172957,441391,7141.0
1637849816.6075368,448506,7141.0
1637849859.3757396,455627,7141.0
1637849903.3659248,462756,7141.0
1637849946.4549985,469871,7141.0
1637849988.1509702,476985,7141.0
1637850030.4901686,484098,7141.0
1637850073.433028,491216,7141.0
1637850116.2672842,498336,7141.0
1637850203.5771954,512575,7141.0
1637850248.5091915,519692,7141.0
1637850293.7205453,526812,7141.0
1637850338.4120266,533938,7141.0
1637850426.5301108,548171,7141.0
1637850514.590724,562409,7141.0
1637850555.444162,569530,7141.0
1637850643.0440335,583768,7141.0
