Wall time,Step,Value
1639651209.5082974,42713,-0.4583333432674408
1639651460.7546506,113912,1.1875
1639651585.5261514,135279,1.3289474248886108
1639651828.8765688,177985,1.1200000047683716
1639652321.21444,263408,1.590000033378601
1639652486.8230877,291872,1.3300000429153442
1639652569.7985687,306110,1.0499999523162842
1639652653.3525736,320350,0.6800000071525574
1639652695.0214777,327469,0.6700000166893005
1639652779.2120674,341703,0.550000011920929
1639653031.874902,384423,0.23000000417232513
1639653073.9071374,391532,0.3400000035762787
1639653116.1815922,398650,0.5199999809265137
1639653158.4390318,405763,0.49000000953674316
1639653541.304552,469830,-0.17000000178813934
1639653798.5905962,512541,-1.090000033378601
1639653841.4375715,519660,-1.090000033378601
1639653884.3035653,526780,-1.1200000047683716
1639653927.52288,533903,-0.9300000071525574
1639654144.3751402,569494,-1.340000033378601
1639654492.6118064,626459,-1.8799999952316284
1639654809.773024,676277,-2.5999999046325684
1639655175.1587303,733237,-2.859999895095825
1639655312.585958,754590,-3.1700000762939453
1639655359.1698868,761705,-3.359999895095825
1639655684.9766703,811507,-4.360000133514404
1639655914.0888243,847104,-3.880000114440918
1639656286.7054935,904050,-3.569999933242798
1639656426.0704043,925402,-2.9200000762939453
1639656472.570505,932525,-2.940000057220459
1639656883.130134,996579,-1.340000033378601
1639656971.908106,1010815,-1.3600000143051147
1639657017.7254858,1017926,-1.5099999904632568
1639657062.8609407,1025045,-1.2000000476837158
1639657380.0513546,1074861,-1.2999999523162842
1639657609.8079343,1110450,-1.2599999904632568
1639657700.040268,1124690,-1.340000033378601
1639657747.6917303,1131812,-1.1299999952316284
1639657935.0715187,1160282,0.05999999865889549
1639658172.4164224,1195870,1.850000023841858
1639658219.818542,1202985,1.899999976158142
1639658362.1820433,1224336,2.7799999713897705
1639658647.228336,1267052,4.989999771118164
1639658694.681502,1274169,5.519999980926514
1639658789.4327004,1288410,6.789999961853027
1639658928.7824538,1309344,8.199999809265137
1639659022.2454724,1323384,8.539999961853027
1639659069.663607,1330498,9.25
1639659163.0535598,1344479,10.270000457763672
1639659256.4935575,1358505,11.170000076293945
1639659303.978752,1365621,11.710000038146973
1639659628.9423556,1414345,15.890000343322754
1639659993.7679384,1469260,22.020000457763672
1639660041.7398574,1476353,22.459999084472656
1639660089.1771894,1483440,23.010000228881836
1639660273.0451028,1511237,24.270000457763672
1639660760.9869895,1585313,30.459999084472656
1639661024.480367,1626364,31.1200008392334
1639661150.1573143,1645428,31.959999084472656
1639661220.696207,1656295,34.150001525878906
1639661352.500103,1676002,34.79999923706055
1639661819.8372176,1745687,41.83000183105469
1639662024.4173164,1776312,49.38999938964844
1639662124.0299323,1791167,51.25
1639662196.4646826,1801879,51.650001525878906
1639662231.9099247,1807104,52.77000045776367
1639662295.2625546,1816903,55.43000030517578
1639662429.2572737,1837003,55.31999969482422
1639662541.3372276,1853616,59.47999954223633
1639662601.2487257,1862561,61.0
1639662762.8407185,1886572,62.290000915527344
1639663183.8320556,1949327,68.86000061035156
1639663326.404747,1970582,68.38999938964844
1639663353.6705494,1974652,68.44000244140625
1639663457.1576867,1990232,69.23999786376953
1639663482.8890939,1994057,70.05999755859375
1639663586.474321,2009458,71.13999938964844
1639663609.8315675,2012937,71.45999908447266
1639663655.8214016,2019788,72.01000213623047
1639663734.4078887,2031485,71.58000183105469
1639663866.1448834,2051086,71.86000061035156
1639663889.6552694,2054589,72.31999969482422
1639664042.7885678,2077374,73.4800033569336
1639664069.6139703,2081378,73.3499984741211
1639664095.5765865,2085219,73.3499984741211
1639664171.6723087,2096541,72.94000244140625
1639664390.0109208,2128976,74.63999938964844
1639664595.8867297,2159542,74.70999908447266
1639664926.1809912,2209058,76.86000061035156
1639664994.6212492,2219653,76.83999633789062
1639665090.8720562,2234182,76.76000213623047
1639665233.5078046,2255427,77.20999908447266
1639665327.484291,2269433,78.12999725341797
1639665352.484032,2273136,77.79000091552734
1639665376.8692136,2276768,77.86000061035156
1639665549.4071636,2302438,77.69000244140625
1639665666.37056,2319827,78.93000030517578
1639665689.8679342,2323320,78.94999694824219
1639666072.2868035,2380324,78.4000015258789
1639666226.806865,2403289,78.72000122070312
1639666355.2727244,2422370,79.87000274658203
1639666377.9313362,2425741,79.69999694824219
1639666423.928177,2432579,79.8499984741211
1639666550.5028179,2451430,81.16000366210938
1639666745.5272214,2480535,81.47000122070312
1639666790.1428063,2487176,81.26000213623047
1639666811.0157936,2490275,81.06999969482422
1639666876.6484966,2500064,81.13999938964844
1639667017.5566738,2521083,81.37999725341797
1639667207.266244,2549303,81.47000122070312
1639667275.2711043,2559401,81.0199966430664
1639667294.4415429,2562232,81.22000122070312
1639667489.6911519,2591349,81.37999725341797
1639667513.0223756,2594848,81.02999877929688
1639667751.6794713,2630393,80.13999938964844
1639667819.9455702,2640570,80.33999633789062
1639667843.7802508,2644128,79.75
1639667879.135412,2649371,80.38999938964844
1639667925.6247013,2656283,80.4000015258789
1639668216.0228624,2699308,82.23999786376953
1639668316.9827726,2714259,81.91000366210938
1639668358.3499126,2720407,82.9800033569336
1639668415.716097,2728948,82.7300033569336
1639668578.9045417,2753229,83.01000213623047
1639668697.2331817,2770767,83.63999938964844
1639668740.2563176,2777140,83.83999633789062
1639668799.2459774,2785907,84.02999877929688
1639668817.3584535,2788577,84.27999877929688
1639668880.33474,2797922,84.63999938964844
1639668918.1401296,2803523,84.91000366210938
1639669018.964845,2818477,85.23999786376953
1639669040.519452,2821680,85.41999816894531
1639669227.9729705,2849601,85.33000183105469
1639669268.0994709,2855560,85.22000122070312
1639669347.8980606,2867424,84.79000091552734
1639669367.7301002,2870350,84.83000183105469
1639669464.5151408,2884712,84.87000274658203
1639669541.8064494,2896156,85.16999816894531
1639669557.5357573,2898478,85.4800033569336
1639669662.884588,2914130,84.95999908447266
1639669699.3807874,2919538,85.27999877929688
1639669717.876613,2922281,85.26000213623047
1639669757.2344136,2928124,85.30999755859375
1639669795.0327969,2933739,85.37000274658203
1639669816.382218,2936916,85.30000305175781
1639669913.2413268,2951348,85.4000015258789
1639669934.463632,2954512,85.08000183105469
1639670065.752059,2974052,84.37000274658203
1639670105.525239,2979863,85.47000122070312
1639670209.926208,2995329,86.04000091552734
1639670243.4817307,3000300,86.66999816894531
1639670333.9460218,3013734,86.83999633789062
1639670423.9428878,3027063,87.4800033569336
1639670458.0028708,3032117,88.02999877929688
1639670673.609532,3064113,88.02999877929688
1639670808.0057857,3084111,87.66000366210938
1639670827.1231768,3086946,87.47000122070312
1639670863.286072,3092337,87.26000213623047
1639670882.7432091,3095242,87.16000366210938
1639670899.9494069,3097950,87.04000091552734
1639670916.8442183,3100431,87.19000244140625
