Wall time,Step,Value
1637847499.7622693,14239,0.75
1637847543.0760193,28465,2.3125
1637847586.6322067,42712,2.75
1637847608.357952,49834,2.4642856121063232
1637847651.9185007,64078,2.027777671813965
1637847695.906223,78314,1.954545497894287
1637847717.6482484,85430,2.0
1637847739.494643,92542,2.038461446762085
1637847761.3069808,99651,1.7678571939468384
1637847803.1289237,106769,1.7333333492279053
1637847844.6497853,113884,1.765625
1637847886.1275907,121003,1.6029411554336548
1637847927.9485598,128123,1.6527777910232544
1637847968.9587924,135244,1.75
1637848010.005058,142363,1.774999976158142
1637848050.929213,149487,1.4166666269302368
1637848132.9426725,163736,1.3804347515106201
1637848215.3645027,177971,1.3700000047683716
1637848256.583926,185091,1.2699999809265137
1637848339.0247738,199328,1.0099999904632568
1637848463.1444614,220690,0.44999998807907104
1637848504.5670679,227809,0.6399999856948853
1637848546.4140613,234930,0.7200000286102295
1637848588.0428555,242054,0.7799999713897705
1637848629.5555449,249165,0.6800000071525574
1637848713.0683656,263403,0.6100000143051147
1637848838.578315,284756,0.5199999809265137
1637848880.4973733,291883,0.6399999856948853
1637848964.7168353,306125,0.2800000011920929
1637849006.5398064,313244,0.18000000715255737
1637849048.8612294,320358,-0.11999999731779099
1637849091.9193215,327480,0.0
1637849135.3777778,334597,-0.10999999940395355
1637849178.480911,341722,-0.10999999940395355
1637849264.9799514,355969,-0.3400000035762787
1637849308.0820632,363080,-0.38999998569488525
1637849432.529906,384446,-0.5099999904632568
1637849473.1788106,391566,-0.5799999833106995
1637849516.6283636,398686,-0.8999999761581421
1637849557.6661453,405804,-1.2200000286102295
1637849599.4644217,412920,-1.309999942779541
1637849729.109298,434268,-1.7300000190734863
1637849772.9172957,441391,-1.5700000524520874
1637849816.6075368,448506,-1.7599999904632568
1637849859.3757396,455627,-1.7999999523162842
1637849903.3659248,462756,-1.9299999475479126
1637849946.4549985,469871,-2.4800000190734863
1637849988.1509702,476985,-2.3399999141693115
1637850030.4901686,484098,-2.1700000762939453
1637850073.433028,491216,-2.2899999618530273
1637850116.2672842,498336,-2.1600000858306885
1637850203.5771954,512575,-2.180000066757202
1637850248.5091915,519692,-2.359999895095825
1637850293.7205453,526812,-2.2699999809265137
1637850338.4120266,533938,-2.3299999237060547
1637850426.5301108,548171,-2.4600000381469727
1637850514.590724,562409,-2.4800000190734863
1637850555.444162,569530,-2.630000114440918
1637850643.0440335,583768,-3.190000057220459
1637850687.279194,590892,-3.700000047683716
1637850775.6083882,605133,-3.9200000762939453
1637850819.9256232,612251,-3.9200000762939453
1637850864.3189278,619368,-4.510000228881836
1637850908.55509,626497,-4.519999980926514
1637850952.618094,633612,-4.889999866485596
1637850996.9813712,640737,-5.510000228881836
1637851085.51475,654959,-5.900000095367432
1637851129.7529137,662088,-6.570000171661377
1637851174.1041803,669207,-7.019999980926514
1637851219.0950284,676325,-7.599999904632568
1637851310.0829837,690564,-8.380000114440918
1637851446.5852964,711915,-9.4399995803833
1637851490.0007155,719034,-9.329999923706055
1637851536.0186946,726147,-10.149999618530273
1637851580.8894777,733271,-11.079999923706055
1637851671.2158456,747501,-11.109999656677246
1637851717.367941,754625,-11.09000015258789
1637851763.3729906,761747,-11.180000305175781
1637851902.644323,783098,-13.1899995803833
1637851947.006876,790218,-13.770000457763672
1637852085.2706442,811570,-13.680000305175781
1637852221.9702353,832923,-15.430000305175781
1637852268.762064,840047,-15.539999961853027
1637852314.7692184,847160,-16.0
1637852361.519309,854281,-16.25
1637852408.2011251,861404,-16.860000610351562
1637852545.8732102,882752,-19.040000915527344
1637852592.8640294,889865,-19.56999969482422
1637852637.719249,896991,-20.639999389648438
1637852685.0760198,904112,-20.760000228881836
1637852732.1057746,911229,-20.809999465942383
1637852823.6753764,925467,-22.799999237060547
1637852870.4830444,932585,-23.520000457763672
1637853010.2638326,953948,-24.540000915527344
1637853150.8282058,975303,-26.600000381469727
1637853197.8498967,982424,-27.760000228881836
1637853292.3496926,996670,-29.360000610351562
1637853386.7233741,1010908,-29.610000610351562
1637853434.1634443,1018029,-30.5
1637853481.153106,1025148,-31.34000015258789
1637853529.6210885,1032266,-32.2400016784668
1637853578.1201138,1039381,-33.09000015258789
1637853626.233548,1046504,-33.54999923706055
1637853722.457988,1060749,-33.369998931884766
1637853770.8637066,1067865,-33.88999938964844
1637853819.1473923,1074986,-34.22999954223633
1637853867.3042524,1082106,-34.65999984741211
1637853962.5423846,1096349,-35.130001068115234
1637854010.41307,1103472,-34.84000015258789
1637854058.3084886,1110596,-34.849998474121094
1637854154.15957,1124834,-35.220001220703125
1637854202.034965,1131956,-34.83000183105469
1637854250.0880053,1139075,-34.560001373291016
1637854346.0477448,1153304,-35.130001068115234
1637854392.8841646,1160425,-34.90999984741211
1637854485.8419495,1174665,-34.63999938964844
1637854532.3898237,1181780,-34.75
1637854626.0729172,1196015,-33.86000061035156
1637854673.0740867,1203126,-33.06999969482422
1637854721.0987325,1210248,-32.630001068115234
1637854816.2587028,1224489,-32.09000015258789
1637854864.2774894,1231604,-31.979999542236328
1637855008.8303216,1252964,-31.8700008392334
1637855057.0849082,1260076,-31.8799991607666
1637855105.2796652,1267197,-31.899999618530273
1637855153.526974,1274315,-32.04999923706055
1637855248.9366229,1288550,-32.40999984741211
1637855296.9164813,1295672,-32.77000045776367
1637855392.9361393,1309915,-32.529998779296875
1637855486.0933728,1324156,-31.90999984741211
1637855533.532443,1331271,-31.81999969482422
1637855580.9374812,1338390,-31.950000762939453
1637855628.3895633,1345513,-32.13999938964844
1637855720.7754395,1359758,-32.060001373291016
1637855768.631888,1366877,-32.06999969482422
1637855908.6400006,1388238,-32.79999923706055
1637856101.1980126,1416722,-32.38999938964844
1637856149.8152673,1423839,-32.150001525878906
1637856294.4864707,1445203,-32.220001220703125
1637856342.2750206,1452322,-31.8700008392334
1637856437.5373216,1466552,-31.56999969482422
1637856482.6344252,1473360,-32.29999923706055
