Wall time,Step,Value
1637931142.036442,2456,687.0
1637931151.1728113,5750,725.94287109375
1637931152.0856194,6070,715.0
1637931156.0965033,7508,715.8043212890625
1637931161.6865788,9507,715.362060546875
1637931170.1778195,12561,720.0
1637931193.5050023,20979,734.010009765625
1637931194.4308429,21293,736.5700073242188
1637931198.0981724,22625,742.97998046875
1637931221.753152,31160,767.8200073242188
1637931223.441685,31754,758.0399780273438
1637931231.447561,34649,757.239990234375
1637931235.691414,36152,754.510009765625
1637931237.6211658,36817,749.4199829101562
1637931250.3863132,41387,732.1500244140625
1637931251.1770315,41674,730.4500122070312
1637931253.7935908,42577,726.3300170898438
1637931265.0955539,46678,731.4500122070312
1637931272.720281,49415,728.280029296875
1637931294.953056,57494,776.4500122070312
1637931302.7109919,60272,781.3499755859375
1637931309.7253597,62805,781.4600219726562
1637931314.5415542,64512,776.6599731445312
1637931337.925859,72931,743.9400024414062
1637931348.3795817,76686,742.3499755859375
1637931354.608012,78950,755.8699951171875
1637931356.7309394,79686,740.510009765625
1637931357.0111938,79778,738.47998046875
1637931370.280881,84607,745.260009765625
1637931375.762858,86592,758.239990234375
1637931381.7162623,88779,779.5599975585938
1637931386.4504545,90422,770.5
1637931390.019695,91655,765.02001953125
1637931406.2033923,97281,753.8200073242188
1637931409.3132157,98351,748.8800048828125
1637931412.454067,99452,745.72998046875
1637931430.7696955,102866,732.1699829101562
1637931438.3245542,104246,729.1300048828125
1637931441.1250973,104754,722.02001953125
1637931442.9147215,105080,722.530029296875
1637931455.098784,107303,749.7899780273438
1637931456.4119756,107534,748.0800170898438
1637931461.4725704,108449,750.2000122070312
1637931466.9375317,109421,744.72998046875
1637931470.6749258,110082,746.7000122070312
1637931490.6470573,113647,734.5999755859375
1637931569.636775,127813,712.469970703125
1637931581.6146502,129951,716.030029296875
1637931589.4847953,131350,729.1900024414062
1637931590.0192804,131442,728.1400146484375
1637931594.0839715,132160,722.4000244140625
1637931598.4739559,132948,713.2000122070312
1637931610.499875,135076,712.27001953125
1637931612.5907733,135451,715.3300170898438
1637931619.5791225,136713,724.4000244140625
1637931656.534675,143288,734.3800048828125
1637931659.3442245,143796,740.3599853515625
1637931663.8853474,144609,728.9000244140625
1637931669.3493083,145594,741.4299926757812
1637931679.34138,147335,724.0900268554688
1637931683.5321846,148086,727.3200073242188
1637931687.9391859,148885,732.97998046875
1637931730.0003726,156436,763.0
1637931733.2663383,157010,757.8300170898438
1637931734.3162923,157201,764.6199951171875
1637931748.6743274,159779,772.52001953125
1637931757.3642163,161314,758.1099853515625
1637931794.568998,167903,739.5999755859375
1637931807.1063802,170093,734.2999877929688
1637931849.9672933,177897,739.3599853515625
1637931852.6166997,178388,748.1099853515625
1637931862.3084984,180152,747.1300048828125
1637931865.1000319,180661,752.8599853515625
1637931901.8944373,187432,767.1799926757812
1637931906.9930665,188360,757.260009765625
1637931922.5581982,191209,743.239990234375
1637931931.0609171,192768,738.3800048828125
1637931937.1644595,193870,732.0700073242188
1637931960.8950047,198202,746.0700073242188
1637931968.059509,199485,741.6300048828125
1637931973.4283824,200457,739.9199829101562
1637931978.742207,201433,748.3499755859375
1637932002.8510966,205832,731.5900268554688
1637932023.0804615,209481,732.6599731445312
1637932033.0224879,211275,725.9600219726562
1637932043.8443131,213238,709.719970703125
1637932046.1924453,213648,707.25
1637932059.1351964,216029,719.25
1637932083.1389883,220366,696.780029296875
1637932115.470342,226269,718.0499877929688
1637932121.076432,227288,714.72998046875
1637932125.0940795,228005,718.8699951171875
1637932128.7994435,228685,726.0800170898438
1637932133.0052621,229438,725.2100219726562
1637932140.4840524,230807,727.010009765625
1637932152.76921,233099,741.4199829101562
1637932154.9231663,233506,742.2000122070312
1637932156.743818,233825,740.010009765625
1637932187.3035638,239368,731.5700073242188
1637932219.739011,245255,737.0
1637932231.087315,247288,720.7899780273438
1637932238.9294348,248724,722.510009765625
1637932247.2730093,250202,708.6300048828125
1637932248.8474393,250478,703.8699951171875
1637932254.36745,251474,695.9600219726562
1637932284.669962,256973,720.739990234375
1637932296.5587552,259118,713.5
1637932304.666116,260606,719.6799926757812
1637932307.7379045,261174,725.010009765625
1637932321.7306087,263702,740.8900146484375
1637932347.441952,268354,745.219970703125
1637932356.8104577,270079,757.0
1637932372.5837784,272922,737.6400146484375
1637932403.347709,278575,762.6599731445312
1637932405.8609908,279042,770.7999877929688
1637932406.3634465,279130,764.719970703125
1637932411.7213106,280082,766.3300170898438
1637932415.7079308,280810,773.2100219726562
1637932420.624394,281671,773.3800048828125
1637932459.5036917,288635,749.5499877929688
1637932465.3449953,289707,759.030029296875
1637932470.9560902,290702,757.489990234375
1637932488.2858238,293854,739.5999755859375
1637932493.2663457,294739,751.489990234375
1637932500.1335835,295982,755.3400268554688
1637932507.978706,297414,773.219970703125
1637932511.0244706,297975,779.8300170898438
1637932523.8691335,300229,761.0999755859375
1637932527.1551166,300808,758.510009765625
1637932527.7086184,300900,756.4500122070312
1637932532.4038842,301763,767.6900024414062
1637932542.9614694,303630,755.4000244140625
1637932546.0913105,304181,748.510009765625
1637932558.4775555,306355,737.5999755859375
1637932569.2813647,308255,732.9400024414062
1637932576.154605,309465,729.6699829101562
1637932584.9856231,311044,701.9299926757812
1637932604.8977005,314613,690.6500244140625
1637932610.626902,315607,684.75
1637932638.9436102,320703,721.530029296875
1637932640.3538907,320967,721.4400024414062
1637932642.529866,321371,731.030029296875
1637932679.7006133,328058,788.7999877929688
1637932686.2315426,329232,795.6699829101562
1637932696.1695657,331041,817.969970703125
1637932697.582849,331300,821.010009765625
1637932700.4354389,331784,813.5900268554688
1637932720.4786353,335382,819.4500122070312
1637932720.9921014,335472,821.25
1637932730.4807162,337197,819.3800048828125
1637932732.9959998,337670,830.3300170898438
1637932737.09372,338418,836.6799926757812
1637932745.5984426,339920,811.0900268554688
1637932749.5380192,340611,808.4199829101562
1637932757.211986,341982,810.7899780273438
1637932768.7824907,344037,792.739990234375
1637932775.055186,345174,809.8200073242188
1637932813.9354846,352053,751.760009765625
1637932872.2504284,362354,724.739990234375
1637932875.4133003,362903,728.7899780273438
1637932883.8789854,364375,723.469970703125
1637932912.7101612,369504,733.6300048828125
1637932924.6389925,371620,730.530029296875
1637932951.0970128,376296,725.280029296875
1637933016.3012147,387826,769.5599975585938
1637933033.9362276,390911,759.22998046875
1637933052.171784,394099,750.72998046875
1637933087.1575472,400244,733.3699951171875
1637933093.8906603,401453,745.5399780273438
1637933121.080346,406231,742.6199951171875
1637933138.163856,409271,757.4199829101562
1637933144.6987882,410420,765.1099853515625
1637933148.7394578,411160,767.8300170898438
1637933196.3897185,419607,800.4500122070312
1637933238.785209,427055,781.510009765625
1637933244.6205072,428089,793.9400024414062
