Wall time,Step,Value
1638188949.6728084,2896,1.625
1638188951.5624883,3569,1.4500000476837158
1638188958.4057271,6049,1.4285714626312256
1638188959.5227234,6457,1.4864864349365234
1638188963.8006263,8016,1.45652174949646
1638188968.214299,9548,1.2586207389831543
1638188968.9980278,9822,1.2166666984558105
1638188975.5988765,12149,1.1184210777282715
1638188999.4799275,20860,1.309999942779541
1638189000.5559046,21237,1.3600000143051147
1638189004.696696,22777,1.3799999952316284
1638189010.846279,24994,1.3600000143051147
1638189012.2400463,25531,1.4600000381469727
1638189030.4316516,32127,1.8899999856948853
1638189032.1537418,32729,1.9299999475479126
1638189039.0680838,35139,1.6399999856948853
1638189040.5224192,35637,1.5700000524520874
1638189042.5852485,36346,1.5499999523162842
1638189044.5220082,37016,1.4800000190734863
1638189057.5198758,41660,1.3700000047683716
1638189058.049367,41842,1.2599999904632568
1638189061.0052614,42885,1.2599999904632568
1638189068.0658755,45367,1.149999976158142
1638189070.7342982,46290,0.9900000095367432
1638189078.311359,48978,0.9700000286102295
1638189096.5119603,55340,0.9700000286102295
1638189096.7912128,55432,0.9800000190734863
1638189105.1448112,58470,1.100000023841858
1638189106.3693786,58912,1.1399999856948853
1638189112.553538,61191,1.25
1638189113.6173112,61564,1.2400000095367432
1638189113.8595319,61654,1.2400000095367432
1638189118.2390301,63269,1.3700000047683716
1638189125.4797668,65873,1.350000023841858
1638189132.8923364,68534,1.350000023841858
1638189140.8465695,71368,1.399999976158142
1638189151.412227,75207,1.4700000286102295
1638189155.8598702,76852,1.5700000524520874
1638189157.7446165,77518,1.4900000095367432
1638189160.2341437,78411,1.4600000381469727
1638189160.6378627,78549,1.4500000476837158
1638189172.894337,82966,1.3799999952316284
1638189173.5439267,83192,1.3899999856948853
1638189178.3761601,84965,1.4299999475479126
1638189180.769333,85811,1.4700000286102295
1638189181.2767942,85998,1.5099999904632568
1638189181.7972665,86180,1.4600000381469727
1638189182.8211958,86523,1.4500000476837158
1638189183.4677835,86751,1.4500000476837158
1638189188.0782733,88421,1.4600000381469727
1638189191.3742652,89575,1.4600000381469727
1638189207.5545337,95428,1.340000033378601
1638189210.140881,96334,1.2899999618530273
1638189213.2416975,97476,1.340000033378601
1638189216.2784548,98561,1.2599999904632568
1638189225.3798342,100663,1.3300000429153442
1638189227.4457095,101099,1.309999942779541
1638189232.934693,102214,1.309999942779541
1638189235.0075755,102624,1.2799999713897705
1638189236.543726,102895,1.2699999809265137
1638189237.5426342,103077,1.2799999713897705
1638189241.8830774,103906,1.2599999904632568
1638189245.0678306,104530,1.2300000190734863
1638189246.002643,104710,1.2000000476837158
1638189250.1213813,105552,1.25
1638189251.6010408,105864,1.2799999713897705
1638189253.5521255,106230,1.2400000095367432
1638189255.8091743,106663,1.2300000190734863
1638189261.0266914,107717,1.340000033378601
1638189262.04186,107932,1.340000033378601
1638189279.4579728,111397,1.4299999475479126
1638189282.2415,111957,1.399999976158142
1638189304.3813837,116313,1.4600000381469727
1638189308.3796966,117068,1.2899999618530273
1638189311.5974689,117684,1.2799999713897705
1638189328.8938472,121090,1.350000023841858
1638189329.9728274,121298,1.3600000143051147
1638189334.603181,122198,1.3300000429153442
1638189344.4891293,124133,1.340000033378601
1638189350.9642835,125401,1.2200000286102295
1638189352.3890796,125671,1.190000057220459
1638189359.8544996,127178,1.2000000476837158
1638189365.1246195,128201,1.1699999570846558
1638189370.4377832,129235,1.0199999809265137
1638189370.9378896,129327,1.0199999809265137
1638189374.5784833,130033,1.0399999618530273
1638189375.0309005,130123,1.0399999618530273
1638189378.194773,130749,1.059999942779541
1638189389.9598866,133048,1.090000033378601
1638189392.6286137,133588,1.1200000047683716
1638189399.3387754,134921,1.2100000381469727
1638189426.3037512,140195,1.159999966621399
1638189429.3475146,140776,1.1399999856948853
1638189431.6469686,141233,1.1399999856948853
1638189432.8502226,141465,1.159999966621399
1638189435.776136,142043,1.190000057220459
1638189440.427243,142958,1.190000057220459
1638189444.7854764,143834,1.2100000381469727
1638189451.345263,145116,1.2899999618530273
1638189454.8724656,145813,1.2799999713897705
1638189457.805908,146389,1.2699999809265137
1638189462.8764927,147348,1.2200000286102295
1638189494.6180413,153612,1.3899999856948853
1638189496.9296412,154053,1.3799999952316284
1638189498.0506158,154277,1.3799999952316284
1638189498.8908923,154447,1.4199999570846558
1638189513.6899025,157375,1.5199999809265137
1638189524.8801782,159550,1.7300000190734863
1638189533.9230793,161309,1.6699999570846558
1638189563.3367836,167098,1.940000057220459
1638189571.0878208,168612,1.9199999570846558
1638189573.8963704,169156,1.940000057220459
1638189575.3737113,169430,1.9199999570846558
1638189590.976878,172496,1.909999966621399
1638189594.598165,173186,1.8700000047683716
1638189602.8016133,174847,2.0199999809265137
1638189606.8793156,175636,2.059999942779541
1638189618.669019,177938,1.840000033378601
1638189620.6818464,178330,1.8600000143051147
1638189628.2397084,179790,1.8300000429153442
1638189630.303582,180189,1.8799999952316284
1638189632.1963003,180555,1.850000023841858
1638189632.9239612,180695,1.8700000047683716
1638189678.7725866,189811,2.259999990463257
1638189680.491147,190134,2.309999942779541
1638189683.8722165,190820,2.3399999141693115
1638189684.4757645,190940,2.3499999046325684
1638189705.4808347,195095,2.630000114440918
1638189718.3555243,197651,2.619999885559082
1638189729.590724,199901,2.8399999141693115
1638189734.151865,200813,2.950000047683716
1638189754.6815045,204824,3.119999885559082
1638189755.1919675,204916,3.119999885559082
1638189765.9587429,207054,3.240000009536743
1638189771.82607,208194,3.049999952316284
1638189775.690578,208934,3.009999990463257
1638189805.2774396,214788,2.9000000953674316
1638189810.6232932,215877,3.0199999809265137
1638189835.3537462,220772,2.990000009536743
1638189850.0100522,223642,2.8499999046325684
1638189850.469469,223734,2.8499999046325684
1638189864.3000264,226456,2.880000114440918
1638189869.319583,227454,2.9800000190734863
1638189886.1538675,230785,3.069999933242798
1638189887.5931735,231069,3.109999895095825
1638189910.1706717,235517,3.450000047683716
1638189919.9225256,237424,3.4700000286102295
1638189923.0323486,238036,3.4200000762939453
1638189927.8797495,238991,3.430000066757202
1638189930.3229685,239468,3.4600000381469727
1638189951.8895478,243739,3.450000047683716
1638189966.240577,246551,3.4800000190734863
1638189974.7242796,248208,3.549999952316284
1638189977.9271874,248838,3.5299999713897705
1638189979.4265487,249123,3.5
1638189982.0979743,249653,3.569999933242798
1638189984.5662153,250126,3.609999895095825
1638189991.8688455,251579,3.559999942779541
1638190000.5987709,253293,3.4000000953674316
1638190015.3471606,256197,3.4800000190734863
1638190017.6522536,256650,3.4700000286102295
1638190021.6699011,257448,3.5299999713897705
1638190026.4992857,258394,3.5299999713897705
1638190029.5660703,258998,3.5199999809265137
1638190030.600009,259200,3.559999942779541
1638190050.026646,262988,3.4800000190734863
1638190058.273133,264588,3.4700000286102295
1638190064.887138,265875,3.440000057220459
1638190073.0855818,267494,3.5
1638190074.1575546,267709,3.5
1638190082.7523575,269380,3.5
1638190089.9699106,270803,3.450000047683716
1638190111.817746,275072,3.559999942779541
1638190115.6272044,275816,3.5899999141693115
1638190126.7242794,277987,3.6600000858306885
1638190133.0270016,279235,3.859999895095825
1638190143.847826,281369,3.9000000953674316
1638190158.9605465,284355,4.110000133514404
1638190162.1614525,284999,4.099999904632568
1638190167.0829213,285949,4.0
1638190168.6063037,286239,4.039999961853027
1638190207.8639457,294005,4.389999866485596
1638190215.372763,295477,4.480000019073486
1638190233.456181,299028,4.519999980926514
1638190245.0246835,301318,4.610000133514404
1638190248.7080276,302050,4.710000038146973
1638190250.6567974,302438,4.690000057220459
1638190276.3271027,307516,4.880000114440918
1638190296.3222563,311480,5.079999923706055
1638190299.3339908,312076,5.090000152587891
